Date,POC,PM2.5,AQI_VALUE,COUNTY,LATITUDE,LONGITUDE
1/27/2020,1,9.4,39,Denton,33.219069,-97.196284
1/28/2020,1,5.2,22,Denton,33.219069,-97.196284
1/29/2020,1,3.7,15,Denton,33.219069,-97.196284
1/30/2020,1,3.7,15,Denton,33.219069,-97.196284
1/31/2020,1,3.8,16,Denton,33.219069,-97.196284
2/1/2020,1,2.4,10,Denton,33.219069,-97.196284
2/2/2020,1,2,8,Denton,33.219069,-97.196284
2/3/2020,1,6.6,28,Denton,33.219069,-97.196284
2/4/2020,1,5.3,22,Denton,33.219069,-97.196284
2/5/2020,1,4.2,18,Denton,33.219069,-97.196284
2/6/2020,1,4.2,18,Denton,33.219069,-97.196284
2/7/2020,1,4.6,19,Denton,33.219069,-97.196284
2/8/2020,1,3.9,16,Denton,33.219069,-97.196284
2/9/2020,1,4.3,18,Denton,33.219069,-97.196284
2/10/2020,1,5.8,24,Denton,33.219069,-97.196284
2/11/2020,1,4.3,18,Denton,33.219069,-97.196284
2/12/2020,1,2,8,Denton,33.219069,-97.196284
2/13/2020,1,3.5,15,Denton,33.219069,-97.196284
2/14/2020,1,5,21,Denton,33.219069,-97.196284
2/15/2020,1,7.5,31,Denton,33.219069,-97.196284
2/16/2020,1,6,25,Denton,33.219069,-97.196284
2/17/2020,1,7.4,31,Denton,33.219069,-97.196284
2/18/2020,1,3.7,15,Denton,33.219069,-97.196284
2/19/2020,1,3.6,15,Denton,33.219069,-97.196284
2/20/2020,1,3.8,16,Denton,33.219069,-97.196284
2/21/2020,1,6,25,Denton,33.219069,-97.196284
2/22/2020,1,7,29,Denton,33.219069,-97.196284
2/23/2020,1,7.2,30,Denton,33.219069,-97.196284
2/24/2020,1,2.7,11,Denton,33.219069,-97.196284
2/25/2020,1,2.6,11,Denton,33.219069,-97.196284
2/26/2020,1,3.5,15,Denton,33.219069,-97.196284
2/27/2020,1,4,17,Denton,33.219069,-97.196284
2/28/2020,1,4.5,19,Denton,33.219069,-97.196284
2/29/2020,1,6.2,26,Denton,33.219069,-97.196284
3/1/2020,1,4.4,18,Denton,33.219069,-97.196284
3/2/2020,1,6.8,28,Denton,33.219069,-97.196284
3/3/2020,1,9.4,39,Denton,33.219069,-97.196284
3/4/2020,1,7.8,33,Denton,33.219069,-97.196284
3/5/2020,1,3.5,15,Denton,33.219069,-97.196284
3/6/2020,1,6,25,Denton,33.219069,-97.196284
3/7/2020,1,7.1,30,Denton,33.219069,-97.196284
3/8/2020,1,9.6,40,Denton,33.219069,-97.196284
3/9/2020,1,5,21,Denton,33.219069,-97.196284
3/10/2020,1,4.7,20,Denton,33.219069,-97.196284
3/11/2020,1,8.8,37,Denton,33.219069,-97.196284
3/12/2020,1,8.7,36,Denton,33.219069,-97.196284
3/13/2020,1,4.8,20,Denton,33.219069,-97.196284
3/14/2020,1,2.4,10,Denton,33.219069,-97.196284
3/15/2020,1,3.2,13,Denton,33.219069,-97.196284
3/16/2020,1,6.9,29,Denton,33.219069,-97.196284
